own_telephone,foreign_worker,duration,credit_amount,installment_commitment,residence_since,age,existing_credits,num_dependents,checking_status_0<=X<200,checking_status_<0,checking_status_>=200,checking_status_no_checking,credit_history_all_paid,credit_history_critical/other_existing_credit,credit_history_delayed_previously,credit_history_existing_paid,credit_history_no_credits/all_paid,purpose_business,purpose_domestic_appliance,purpose_education,purpose_furniture/equipment,purpose_new_car,purpose_other,purpose_radio/tv,purpose_repairs,purpose_retraining,purpose_used_car,savings_status_100<=X<500,savings_status_500<=X<1000,savings_status_<100,savings_status_>=1000,savings_status_no_known_savings,employment_1<=X<4,employment_4<=X<7,employment_<1,employment_>=7,employment_unemployed,personal_status_female_div/dep/mar,personal_status_male_div/sep,personal_status_male_mar/wid,personal_status_male_single,other_parties_co_applicant,other_parties_guarantor,other_parties_none,property_magnitude_car,property_magnitude_life_insurance,property_magnitude_no_known_property,property_magnitude_real_estate,other_payment_plans_bank,other_payment_plans_none,other_payment_plans_stores,housing_for_free,housing_own,housing_rent,credit_history0_high_qualif/self_emp/mgmt,credit_history0_skilled,credit_history0_unemp/unskilled_non_res,credit_history0_unskilled_resident
0.0,1.0,0.7175236490786934,0.3430336484050102,-0.8569869785283462,-0.7617328519855594,-0.8635847626562877,0.9788390287667381,-0.4299233922720984,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,1.0,1.5285903209837726,0.9484440923841805,0.9039451691326394,0.14079422382671491,-0.777398658598774,-0.7049437042035684,-0.4299233922720984,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,1.0,-0.742396360350449,0.08171801644412849,-0.8569869785283462,0.14079422382671491,0.7739512144364729,-0.7049437042035684,2.325995788959303,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1.0,1.0,-0.012436355635877807,-0.286929942201357,0.9039451691326394,1.0433212996389891,0.8601373184939866,-0.7049437042035684,-0.4299233922720984,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.0,1.0,1.204163652221741,-0.23887592665955729,0.9039451691326394,-0.7617328519855594,-0.777398658598774,0.9788390287667381,-0.4299233922720984,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,1.0,0.23088364593564592,-0.46616791257989465,0.9039451691326394,1.0433212996389891,0.5153929022639318,0.9788390287667381,-0.4299233922720984,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1.0,1.0,0.23088364593564592,0.534197432859615,-0.8569869785283462,0.14079422382671491,-0.43265424236871913,-0.7049437042035684,-0.4299233922720984,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,1.0,-0.25575635720740153,-0.5257969829602301,0.023479095302146626,1.0433212996389891,1.032509526609014,0.9788390287667381,-0.4299233922720984,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0,-0.9857163619219728,-0.8190317055364679,-1.737453052358839,-0.7617328519855594,-0.6050264504837466,-0.7049437042035684,-0.4299233922720984,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,1.0,0.23088364593564592,-0.4584512093542042,-0.8569869785283462,1.0433212996389891,-1.2945152829438562,-0.7049437042035684,2.325995788959303,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
