own_telephone,foreign_worker,duration,credit_amount,installment_commitment,residence_since,age,existing_credits,num_dependents,checking_status_0<=X<200,checking_status_<0,checking_status_>=200,checking_status_no_checking,credit_history_all_paid,credit_history_critical/other_existing_credit,credit_history_delayed_previously,credit_history_existing_paid,credit_history_no_credits/all_paid,purpose_business,purpose_domestic_appliance,purpose_education,purpose_furniture/equipment,purpose_new_car,purpose_other,purpose_radio/tv,purpose_repairs,purpose_retraining,purpose_used_car,savings_status_100<=X<500,savings_status_500<=X<1000,savings_status_<100,savings_status_>=1000,savings_status_no_known_savings,employment_1<=X<4,employment_4<=X<7,employment_<1,employment_>=7,employment_unemployed,personal_status_female_div/dep/mar,personal_status_male_div/sep,personal_status_male_mar/wid,personal_status_male_single,other_parties_co_applicant,other_parties_guarantor,other_parties_none,property_magnitude_car,property_magnitude_life_insurance,property_magnitude_no_known_property,property_magnitude_real_estate,other_payment_plans_bank,other_payment_plans_none,other_payment_plans_stores,housing_for_free,housing_own,housing_rent,credit_history0_high_qualif/self_emp/mgmt,credit_history0_skilled,credit_history0_unemp/unskilled_non_res,credit_history0_unskilled_resident
1.0,1.0,-0.9831556403402797,-0.47865817384517895,0.9315237946326413,0.08698674919663793,-0.0836053569862307,-0.7142134814688059,-0.43426897242612733,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0.0,1.0,-0.7278642161318978,-0.8158487612827479,0.9315237946326413,1.005860860428731,-1.1186097763480984,1.0594954956888245,-0.43426897242612733,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,1.0,-0.4725727919235159,-0.21855015840038033,-0.8507283634655247,1.005860860428731,-0.6873579349473202,1.0594954956888245,-0.43426897242612733,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1.0,1.0,0.29330148070162976,-0.5736414379120998,0.9315237946326413,-0.831887362035455,-0.6011075666671646,-0.7142134814688059,-0.43426897242612733,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0,-0.8980584989374858,-0.7299985033761079,0.040397715583558334,1.005860860428731,-0.34235646182669766,1.0594954956888245,2.302720349587279,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,1.0,2.335632874368685,2.0562990160023733,-0.8507283634655247,-1.7507614732675478,-0.0836053569862307,1.0594954956888245,-0.43426897242612733,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,1.0,0.29330148070162976,0.47373170854890806,0.040397715583558334,-0.831887362035455,3.2801590059398396,-0.7142134814688059,-0.43426897242612733,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1.0,1.0,1.3144671775351573,1.0958720881872395,0.9315237946326413,1.005860860428731,-1.1186097763480984,1.0594954956888245,-0.43426897242612733,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.0,1.0,0.8038843291183936,1.5952648650313963,-1.7418544425146079,1.005860860428731,2.3314049548581273,1.0594954956888245,-0.43426897242612733,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,1.0,-0.7278642161318978,-0.7774901354095684,0.040397715583558334,-0.831887362035455,-0.7736083032274759,1.0594954956888245,-0.43426897242612733,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
