,Learning rate,Algorithm,Accuracy
0,1e-06,gd,0.8033400017395842
1,1e-05,gd,0.8464816908758807
2,0.0001,gd,0.8462207532399757
3,0.001,gd,0.76741758719666
4,0.01,gd,0.7663738366530399
5,1e-06,sgd,0.8059493780986344
6,1e-05,sgd,0.8463947116639123
7,0.0001,sgd,0.846829607723754
8,0.001,sgd,0.8462207532399757
9,0.01,sgd,0.8456988779681656
10,1e-06,adam,0.6052883360876751
11,1e-05,adam,0.37957728102983385
12,0.0001,adam,0.6566930503609637
13,0.001,adam,0.8423936679133687
14,0.01,adam,0.8463947116639123
