,Learning rate,Algorithm,Accuracy
0,1e-06,gd,0.32112068965517243
1,1e-05,gd,0.6056034482758621
2,0.0001,gd,0.4040948275862069
3,0.001,gd,0.9321120689655172
4,0.01,gd,0.9536637931034483
5,1e-06,sgd,0.5140086206896551
6,1e-05,sgd,0.7349137931034483
7,0.0001,sgd,0.8803879310344828
8,0.001,sgd,0.9321120689655172
9,0.01,sgd,0.9579741379310345
10,1e-06,adam,0.6454741379310345
11,1e-05,adam,0.5754310344827587
12,0.0001,adam,0.7931034482758621
13,0.001,adam,0.4698275862068966
14,0.01,adam,0.5323275862068966
