,Learning rate,Algorithm,Accuracy
0,1e-06,gd,0.40784552491954423
1,1e-05,gd,0.49978255197007915
2,0.0001,gd,0.7737670696703488
3,0.001,gd,0.8220405323127773
4,0.01,gd,0.7888144733408715
5,1e-06,sgd,0.3972340610594068
6,1e-05,sgd,0.7325389231973558
7,0.0001,sgd,0.7966426024180221
8,0.001,sgd,0.8423066887014004
9,0.01,sgd,0.846829607723754
10,1e-06,adam,0.3582673740975907
11,1e-05,adam,0.4994346351222058
12,0.0001,adam,0.4817778550926329
13,0.001,adam,0.7247107941202052
14,0.01,adam,0.5674523788814473
