,Learning rate,Algorithm,F1-Score
0,1e-06,gd,0.32460732984293195
1,1e-05,gd,0.3484848484848485
2,0.0001,gd,0.5616438356164384
3,0.001,gd,0.5352112676056338
4,0.01,gd,0.2608695652173913
5,1e-06,sgd,0.06976744186046512
6,1e-05,sgd,0.4768211920529801
7,0.0001,sgd,0.5673758865248227
8,0.001,sgd,0.5492957746478873
9,0.01,sgd,0.5675675675675674
10,1e-06,adam,0.4197530864197531
11,1e-05,adam,0.3805309734513274
12,0.0001,adam,0.2479338842975206
13,0.001,adam,0.5655172413793104
14,0.01,adam,0.5492957746478873
