,Learning rate,Algorithm,F1-Score
0,1e-06,gd,0.11695906432748539
1,1e-05,gd,0.9365079365079364
2,0.0001,gd,0.959016393442623
3,0.001,gd,0.959016393442623
4,0.01,gd,0.9547325102880659
5,1e-06,sgd,0.6026200873362446
6,1e-05,sgd,0.8739495798319328
7,0.0001,sgd,0.959016393442623
8,0.001,sgd,0.959016393442623
9,0.01,sgd,0.9547325102880659
10,1e-06,adam,0.6814814814814815
11,1e-05,adam,0.21864951768488747
12,0.0001,adam,0.5232558139534883
13,0.001,adam,0.9465020576131686
14,0.01,adam,0.9547325102880659
