,Learning rate,Algorithm,Accuracy
0,1e-06,gd,0.7898706896551724
1,1e-05,gd,0.6239224137931034
2,0.0001,gd,0.7844827586206896
3,0.001,gd,0.9224137931034483
4,0.01,gd,0.9655172413793104
5,1e-06,sgd,0.5366379310344828
6,1e-05,sgd,0.5301724137931034
7,0.0001,sgd,0.8135775862068966
8,0.001,sgd,0.9504310344827587
9,0.01,sgd,0.9633620689655172
10,1e-06,adam,0.6012931034482759
11,1e-05,adam,0.3739224137931034
12,0.0001,adam,0.9245689655172413
13,0.001,adam,0.5086206896551724
14,0.01,adam,0.4105603448275862
