C,No. of features,Balanced accuracy,Final score
0.0005,10.0,0.9050198155986107,0.9050198155986107
0.0015,43.0,0.9631329869514997,0.9631329869514997
0.0025,79.0,0.9686440089955879,0.9671940089955879
0.0035,103.0,0.9706806688733883,0.9680306688733883
0.0045000000000000005,123.0,0.9716826728814043,0.9680326728814043
0.0055,145.0,0.9762325057446869,0.9714825057446869
0.006500000000000001,173.0,0.9701715039039382,0.9640215039039383
0.0075,189.0,0.9736948438628785,0.9667448438628785
0.0085,215.0,0.9727173287511888,0.9644673287511888
0.009500000000000001,229.0,0.9742121717977708,0.9652621717977707
0.0105,246.0,0.9737111697937627,0.9639111697937627
0.0115,262.0,0.9757233407752368,0.9651233407752368
0.0125,278.0,0.9742203347632128,0.9628203347632128
0.013500000000000002,302.0,0.9717234877086147,0.9591234877086148
0.0145,321.0,0.9696705018999302,0.9561205018999303
0.0155,340.0,0.9711735079119542,0.9566735079119543
0.0165,358.0,0.9686603349264721,0.9532603349264721
0.0175,380.0,0.9711979968082805,0.9546979968082805
0.018500000000000003,391.0,0.9706888318388305,0.9536388318388305
0.0195,402.0,0.9711898338428384,0.9535898338428385
0.0205,420.0,0.974236660694097,0.955736660694097
0.021500000000000002,425.0,0.9706806688733883,0.9519306688733883
0.0225,439.0,0.9721918378508545,0.9527418378508545
0.0235,449.0,0.9681348440261378,0.9481848440261378
0.0245,451.0,0.9686603349264721,0.9486103349264721
0.025500000000000002,470.0,0.9721918378508545,0.9511918378508545
0.026500000000000003,483.0,0.9727010028203045,0.9510510028203045
0.0275,487.0,0.9671328400181218,0.9452828400181218
0.0285,509.0,0.9716745099159623,0.9487245099159622
0.029500000000000002,514.0,0.9716826728814043,0.9484826728814043
0.0305,524.0,0.9737111697937627,0.9500111697937627
0.0315,529.0,0.9701551779730541,0.946205177973054
0.0325,539.0,0.9706806688733883,0.9462306688733884
0.0335,538.0,0.9721836748854125,0.9477836748854125
0.0345,545.0,0.9716908358468465,0.9469408358468464
0.035500000000000004,555.0,0.9686684978919142,0.9434184978919142
0.036500000000000005,558.0,0.9711979968082805,0.9457979968082805
0.0375,563.0,0.9706806688733883,0.9450306688733884
0.0385,573.0,0.9706806688733883,0.9445306688733883
0.0395,577.0,0.9706888318388305,0.9443388318388305
0.0405,577.0,0.9721918378508545,0.9458418378508545
0.0415,585.0,0.9701878298348223,0.9434378298348223
0.0425,596.0,0.9701633409384962,0.9428633409384962
0.043500000000000004,601.0,0.9706725059079462,0.9431225059079462
0.0445,603.0,0.9711816708773964,0.9435316708773964
0.0455,605.0,0.9711735079119542,0.9434235079119542
0.0465,608.0,0.9691450109995959,0.9412450109995959
0.0475,613.0,0.9716989988122885,0.9435489988122885
0.0485,613.0,0.9711816708773964,0.9430316708773964
0.0495,618.0,0.9701633409384962,0.9417633409384962
