No. of features,Balanced accuracy,Final score
1.0,0.5049037613870114,0.5049037613870114
2.0,0.6197289156626506,0.6197289156626506
3.0,0.7031479576843961,0.7031479576843961
4.0,0.7652990008815751,0.7652990008815751
5.0,0.8213524831031442,0.8213524831031442
6.0,0.8424368204525419,0.8404368204525419
7.0,0.8348516015280635,0.8308516015280635
8.0,0.8514913311783721,0.845491331178372
9.0,0.8635578900969733,0.8555578900969733
10.0,0.8742469879518072,0.8642469879518072
11.0,0.863612988539524,0.8516129885395239
12.0,0.8696187187775493,0.8556187187775492
13.0,0.8484609168380841,0.8324609168380841
14.0,0.8423633558624744,0.8243633558624743
15.0,0.8394064061122539,0.8194064061122539
16.0,0.8424919188950926,0.8204919188950925
17.0,0.8318579194828093,0.8078579194828093
18.0,0.8273765794886865,0.8013765794886865
19.0,0.8137488980311489,0.7857488980311489
20.0,0.8182669703203056,0.7882669703203056
21.0,0.8047678518953865,0.7727678518953864
22.0,0.7956949750220393,0.7616949750220393
23.0,0.7775675874228621,0.7415675874228621
24.0,0.7927196591243021,0.7547196591243021
25.0,0.7957317073170731,0.7557317073170731
26.0,0.7927563914193358,0.7507563914193358
27.0,0.7988172200999119,0.7548172200999118
28.0,0.7759513664413753,0.7299513664413753
29.0,0.7897259770790479,0.7417259770790479
30.0,0.7609278577725536,0.7109278577725535
