C,No. of features,Balanced accuracy,Final score
0.01,240.0,0.9742203347632128,0.9647203347632128
0.02,413.0,0.9722000008162965,0.9540500008162965
0.03,518.0,0.9676338420221298,0.9442338420221298
0.04,581.0,0.9727254917166308,0.9461754917166308
0.05,616.0,0.9691531739650381,0.9408531739650381
0.060000000000000005,636.0,0.969662338934488,0.9403623389344881
0.06999999999999999,654.0,0.9732020048243126,0.9430020048243126
0.08,677.0,0.96865217196103,0.93730217196103
0.09,682.0,0.9691450109995959,0.937545010999596
0.09999999999999999,687.0,0.9676338420221298,0.9357838420221297
0.11,705.0,0.9676338420221298,0.9348838420221297
0.12,711.0,0.9686276830647038,0.9355776830647038
0.13,718.0,0.9671165140872375,0.9337165140872375
0.14,713.0,0.9655971821443294,0.9324471821443294
0.15000000000000002,722.0,0.9681103551298116,0.9345103551298116
0.16,718.0,0.9701551779730541,0.9367551779730541
0.17,727.0,0.9676256790566877,0.9337756790566877
0.18000000000000002,702.0,0.9686276830647038,0.9360276830647039
0.19,737.0,0.969654175969046,0.935304175969046
0.2,703.0,0.9691286850687117,0.9364786850687118
0.21000000000000002,711.0,0.9666073491177876,0.9335573491177875
0.22,717.0,0.9686358460301459,0.9352858460301459
0.23,732.0,0.9701470150076119,0.9360470150076119
0.24000000000000002,720.0,0.9701633409384962,0.9366633409384962
0.25,722.0,0.9701633409384962,0.9365633409384962
0.26,739.0,0.9722000008162965,0.9377500008162966
0.27,725.0,0.9671410029835639,0.9333910029835639
0.28,670.0,0.9675930271949194,0.9365930271949193
0.29000000000000004,767.0,0.9716826728814043,0.9358326728814043
0.3,672.0,0.9676420049875718,0.9365420049875718
0.31,708.0,0.9686276830647038,0.9357276830647038
0.32,685.0,0.9681266810606958,0.9363766810606957
0.33,661.0,0.9676175160912457,0.9370675160912457
0.34,664.0,0.9701878298348223,0.9394878298348224
0.35000000000000003,714.0,0.9676501679530141,0.934450167953014
0.36000000000000004,689.0,0.9661063471137795,0.9341563471137795
0.37,682.0,0.96865217196103,0.9370521719610301
0.38,681.0,0.9737030068283206,0.9421530068283206
0.39,695.0,0.9671165140872375,0.9348665140872375
0.4,685.0,0.9686358460301459,0.9368858460301459
0.41000000000000003,698.0,0.9696378500381619,0.937237850038162
0.42000000000000004,698.0,0.9711735079119542,0.9387735079119542
0.43,779.0,0.965556367317119,0.929106367317119
0.44,683.0,0.9686440089955879,0.9369940089955879
0.45,712.0,0.9650880171748792,0.9319880171748792
