Max depth,No. of features,Balanced accuracy,Final score
2.0,17.0,0.8406262545162586,0.8166262545162586
3.0,21.0,0.8754516258530711,0.8434516258530711
4.0,21.0,0.8754516258530711,0.8434516258530711
5.0,21.0,0.8754516258530711,0.8434516258530711
6.0,21.0,0.8754516258530711,0.8434516258530711
7.0,20.0,0.8707346447209956,0.8407346447209956
8.0,21.0,0.845343235648334,0.813343235648334
9.0,20.0,0.8506623845845043,0.8206623845845042
10.0,20.0,0.8506623845845043,0.8206623845845042
11.0,21.0,0.845343235648334,0.813343235648334
12.0,20.0,0.8707346447209956,0.8407346447209956
13.0,20.0,0.8506623845845043,0.8206623845845042
14.0,20.0,0.8506623845845043,0.8206623845845042
15.0,21.0,0.845343235648334,0.813343235648334
