C,No. of features,Balanced accuracy,Final score
0.0015,1.0,0.5253914090726616,0.5253914090726616
0.002,1.0,0.5253914090726616,0.5253914090726616
0.0025,2.0,0.4852468887996788,0.4852468887996788
0.003,2.0,0.4852468887996788,0.4852468887996788
0.0035,2.0,0.4852468887996788,0.4852468887996788
0.004,5.0,0.5271979124849457,0.5271979124849457
0.0045000000000000005,8.0,0.5136491368928142,0.5076491368928142
0.005,14.0,0.5567041348855881,0.5387041348855881
0.0055,20.0,0.572059413890004,0.542059413890004
0.006,24.0,0.5177639502207949,0.4797639502207949
0.006500000000000001,37.0,0.5525893215576074,0.4885893215576074
0.006999999999999999,47.0,0.5749698916097953,0.49096989160979526
0.0075,55.0,0.6216378964271376,0.5216378964271376
0.008,70.0,0.5466680048173425,0.41666800481734245
0.0085,80.0,0.5749698916097953,0.42496989160979526
0.009,89.0,0.5933360096346849,0.4253360096346849
0.0095,97.0,0.6050782818145324,0.42107828181453233
0.01,102.0,0.5602167804094741,0.36621678040947403
0.0105,113.0,0.5820955439582497,0.36609554395824967
0.011,121.0,0.5649337615415495,0.33293376154154947
0.0115,128.0,0.6133079084704938,0.36730790847049377
0.012,141.0,0.5785828984343637,0.3065828984343637
0.012499999999999999,155.0,0.6097952629466078,0.3097952629466078
0.013,163.0,0.5785828984343637,0.2625828984343637
0.0135,174.0,0.5554997992773987,0.21749979927739865
0.014,180.0,0.5649337615415495,0.21493376154154947
0.0145,187.0,0.5702529104777199,0.20625291047771988
0.015,191.0,0.5885186672019269,0.21651866720192686
0.0155,197.0,0.5909273384183059,0.20692733841830585
0.016,207.0,0.6044761140104375,0.20047611401043747
0.0165,214.0,0.5933360096346849,0.17533600963468488
0.017,218.0,0.5554997992773987,0.12949979927739863
0.0175,221.0,0.5726615816940988,0.1406615816940987
0.018000000000000002,224.0,0.5507828181453231,0.1127828181453231
0.018500000000000003,232.0,0.5584102769971899,0.10441027699718985
0.019000000000000003,239.0,0.5690485748695303,0.10104857486953028
0.019500000000000003,243.0,0.5856081894821357,0.10960818948213563
0.02,252.0,0.539542352468888,0.04554235246888799
0.0205,253.0,0.6175230830991569,0.12152308309915688
0.021,256.0,0.6103974307507025,0.10839743075070252
0.021500000000000002,263.0,0.5838016860698514,0.06780168606985137
0.022000000000000002,272.0,0.5690485748695303,0.03504857486953028
0.022500000000000003,279.0,0.5879164993978322,0.03991649939783215
0.023000000000000003,281.0,0.5667402649538338,0.014740264953833737
0.0235,283.0,0.5413488558811722,-0.014651144118827841
0.024,288.0,0.5702529104777199,0.004252910477719807
0.0245,290.0,0.5802890405459655,0.010289040545965467
0.025,292.0,0.5690485748695303,-0.004951425130469755
0.025500000000000002,297.0,0.569650742673625,-0.014349257326375042
0.026000000000000002,303.0,0.5785828984343637,-0.01741710156563625
0.026500000000000003,308.0,0.5525893215576074,-0.053410678442392556
0.027000000000000003,311.0,0.5667402649538338,-0.045259735046166205
0.027500000000000004,313.0,0.5832998795664392,-0.03270012043356074
0.028,316.0,0.5921316740264954,-0.02986832597350464
0.0285,316.0,0.5921316740264954,-0.02986832597350464
0.029,316.0,0.5921316740264954,-0.02986832597350464
0.029500000000000002,321.0,0.5472701726214372,-0.08472982737856283
0.030000000000000002,323.0,0.5826977117623444,-0.053302288237655704
0.030500000000000003,327.0,0.5519871537535126,-0.09201284624648742
0.031000000000000003,331.0,0.4811320754716981,-0.1708679245283019
0.0315,335.0,0.5661380971497391,-0.09386190285026097
0.032,339.0,0.5608189482135688,-0.10718105178643123
0.0325,340.0,0.5773785628261743,-0.09262143717382576
0.033,341.0,0.573163388197511,-0.09883661180248904
0.0335,341.0,0.573163388197511,-0.09883661180248904
0.034,342.0,0.5608189482135688,-0.11318105178643123
0.0345,342.0,0.5608189482135688,-0.11318105178643123
0.035,342.0,0.5608189482135688,-0.11318105178643123
0.035500000000000004,345.0,0.5495784825371337,-0.13042151746286634
0.036000000000000004,345.0,0.5495784825371337,-0.13042151746286634
0.036500000000000005,348.0,0.5767763950220794,-0.10922360497792061
0.037000000000000005,352.0,0.5932356483340024,-0.10076435166599762
0.037500000000000006,351.0,0.5631272581292653,-0.12887274187073472
0.038,351.0,0.5631272581292653,-0.12887274187073472
0.0385,351.0,0.5631272581292653,-0.12887274187073472
0.039,352.0,0.5626254516258531,-0.13137454837414697
0.0395,356.0,0.5968486551585708,-0.1051513448414293
0.04,357.0,0.5868125250903251,-0.11718747490967496
0.0405,358.0,0.6251505419510237,-0.08084945804897636
0.041,359.0,0.5590124448012845,-0.14898755519871543
0.0415,359.0,0.5590124448012845,-0.14898755519871543
0.042,359.0,0.5590124448012845,-0.14898755519871543
0.0425,362.0,0.5495784825371337,-0.16442151746286637
0.043000000000000003,365.0,0.5921316740264954,-0.12786832597350462
0.043500000000000004,366.0,0.5796868727418707,-0.1423131272581294
0.044000000000000004,368.0,0.5667402649538338,-0.1592597350461663
0.044500000000000005,368.0,0.5679446005620232,-0.15805539943797686
0.045000000000000005,370.0,0.5933360096346849,-0.13666399036531507
0.0455,371.0,0.5661380971497391,-0.16586190285026103
0.046,375.0,0.5525893215576074,-0.18741067844239256
0.0465,375.0,0.5525893215576074,-0.18741067844239256
0.047,376.0,0.5726615816940988,-0.16933841830590124
0.0475,377.0,0.5856081894821357,-0.15839181051786444
0.048,378.0,0.574468085106383,-0.17153191489361708
0.0485,379.0,0.5862103572862305,-0.1617896427137695
0.049,379.0,0.5862103572862305,-0.1617896427137695
0.0495,382.0,0.5962464873544762,-0.15775351264552395
