No. of features,Balanced accuracy,Final score
1.0,0.5372340425531915,0.5372340425531915
2.0,0.5507828181453231,0.5507828181453231
3.0,0.7013247691690084,0.7013247691690084
4.0,0.7178843837816138,0.7178843837816138
5.0,0.8123243677238057,0.8123243677238057
6.0,0.8459454034524287,0.8439454034524287
7.0,0.8518667201926937,0.8478667201926937
8.0,0.8412284223203532,0.8352284223203532
9.0,0.8506623845845043,0.8426623845845043
10.0,0.8311922922521076,0.8211922922521075
11.0,0.8459454034524287,0.8339454034524287
12.0,0.8500602167804094,0.8360602167804094
13.0,0.8258731433159374,0.8098731433159374
14.0,0.8211561621838619,0.8031561621838619
15.0,0.8164391810517865,0.7964391810517865
16.0,0.8258731433159374,0.8038731433159374
17.0,0.845343235648334,0.821343235648334
18.0,0.8311922922521076,0.8051922922521075
19.0,0.8170413488558812,0.7890413488558812
20.0,0.7922521075873143,0.7622521075873143
21.0,0.8016860698514653,0.7696860698514653
22.0,0.8070052187876355,0.7730052187876355
23.0,0.8076073865917303,0.7716073865917302
24.0,0.7981734243275793,0.7601734243275793
25.0,0.7822159775190687,0.7422159775190686
26.0,0.8217583299879567,0.7797583299879567
27.0,0.7715776796467282,0.7275776796467281
28.0,0.7721798474508229,0.7261798474508229
29.0,0.7875351264552388,0.7395351264552388
30.0,0.7863307908470494,0.7363307908470493
