Max depth,No. of features,Balanced accuracy,Final score
2.0,727.0,0.985,0.9511499999999999
3.0,1029.0,0.98,0.9310499999999999
4.0,1177.0,0.9783333333333333,0.9219833333333333
5.0,1226.0,0.985,0.9262
6.0,1210.0,0.9866666666666667,0.9286666666666668
7.0,1167.0,0.9816666666666667,0.9258166666666667
8.0,1156.0,0.9833333333333333,0.9280333333333333
9.0,1109.0,0.9883333333333333,0.9353833333333332
10.0,1045.0,0.98,0.93025
11.0,1014.0,0.9816666666666667,0.9334666666666667
12.0,977.0,0.9816666666666667,0.9353166666666667
13.0,976.0,0.98,0.9337
14.0,939.0,0.9783333333333333,0.9338833333333333
15.0,924.0,0.9833333333333333,0.9396333333333333
