No. of features,Balanced accuracy,Final score
1.0,0.8200000000000001,0.8200000000000001
2.0,0.8166666666666667,0.8166666666666667
3.0,0.8633333333333333,0.8633333333333333
4.0,0.885,0.885
5.0,0.9083333333333333,0.9083333333333333
6.0,0.9333333333333333,0.9333333333333333
7.0,0.9383333333333334,0.9383333333333334
8.0,0.9383333333333332,0.9383333333333332
9.0,0.9383333333333334,0.9383333333333334
10.0,0.9383333333333332,0.9383333333333332
11.0,0.9433333333333334,0.9433333333333334
12.0,0.95,0.95
13.0,0.9550000000000001,0.9550000000000001
14.0,0.9550000000000001,0.9550000000000001
15.0,0.9533333333333334,0.9533333333333334
16.0,0.9566666666666667,0.9566666666666667
17.0,0.9616666666666667,0.9616666666666667
18.0,0.96,0.96
19.0,0.9583333333333334,0.9583333333333334
20.0,0.9583333333333334,0.9583333333333334
21.0,0.9616666666666667,0.9616666666666667
22.0,0.955,0.955
23.0,0.96,0.96
24.0,0.96,0.96
25.0,0.9550000000000001,0.9550000000000001
26.0,0.9550000000000001,0.9550000000000001
27.0,0.9583333333333333,0.9583333333333333
28.0,0.9583333333333334,0.9583333333333334
29.0,0.9550000000000001,0.9550000000000001
30.0,0.96,0.96
31.0,0.9616666666666667,0.9616666666666667
32.0,0.9616666666666667,0.9616666666666667
33.0,0.9666666666666667,0.9666666666666667
34.0,0.9633333333333334,0.9633333333333334
35.0,0.9650000000000001,0.9650000000000001
36.0,0.9683333333333333,0.9683333333333333
37.0,0.9733333333333334,0.9733333333333334
38.0,0.9683333333333334,0.9683333333333334
39.0,0.97,0.97
40.0,0.9666666666666667,0.9666666666666667
41.0,0.9633333333333334,0.9633333333333334
42.0,0.97,0.97
43.0,0.9733333333333334,0.9733333333333334
44.0,0.9683333333333333,0.9683333333333333
45.0,0.9750000000000001,0.9750000000000001
46.0,0.9666666666666667,0.9666666666666667
47.0,0.9650000000000001,0.9650000000000001
48.0,0.9683333333333333,0.9683333333333333
49.0,0.9783333333333333,0.9783333333333333
50.0,0.97,0.97
